FrameNum,timeInfo,signal-target
3414.00,[12:57:09.2410],373787
3415.00,[12:57:09.2610],425333
3416.00,[12:57:09.2810],412601
3417.00,[12:57:09.3011],352242
3418.00,[12:57:09.3211],443744
3419.00,[12:57:09.3412],382267
3420.00,[12:57:09.3612],395225
3421.00,[12:57:09.3812],395167
3422.00,[12:57:09.4013],427776
3423.00,[12:57:09.4213],445143
3424.00,[12:57:09.4414],452445
3425.00,[12:57:09.4614],476289
3426.00,[12:57:09.4814],364801
3427.00,[12:57:09.5015],367901
3428.00,[12:57:09.5215],403952
3429.00,[12:57:09.5416],445486
3430.00,[12:57:09.5616],396089
3431.00,[12:57:09.5816],417325
3432.00,[12:57:09.6017],423698
3433.00,[12:57:09.6217],308053
3434.00,[12:57:09.6417],438444
3435.00,[12:57:09.6618],451249
3436.00,[12:57:09.6818],456247
3437.00,[12:57:09.7019],368368
3438.00,[12:57:09.7219],338485
3439.00,[12:57:09.7419],343281
3440.00,[12:57:09.7620],432255
3441.00,[12:57:09.7820],391109
3442.00,[12:57:09.8021],380568
3443.00,[12:57:09.8221],358570
3444.00,[12:57:09.8421],364156
3445.00,[12:57:09.8622],405289
3446.00,[12:57:09.8822],363829
3447.00,[12:57:09.9022],377680
3448.00,[12:57:09.9223],391797
3449.00,[12:57:09.9423],435960
3450.00,[12:57:09.9624],428938
3451.00,[12:57:09.9824],328487
3452.00,[12:57:10.0024],426512
3453.00,[12:57:10.0225],408475
3454.00,[12:57:10.0425],365181
3455.00,[12:57:10.0626],342682
3456.00,[12:57:10.0826],474511
3457.00,[12:57:10.1026],441583
3458.00,[12:57:10.1227],374816
3459.00,[12:57:10.1427],445968
3460.00,[12:57:10.1628],428074
3461.00,[12:57:10.1828],416700
3462.00,[12:57:10.2028],414235
3463.00,[12:57:10.2229],359120
3464.00,[12:57:10.2429],408127
3465.00,[12:57:10.2629],396238
3466.00,[12:57:10.2830],390417
3467.00,[12:57:10.3030],445849
3468.00,[12:57:10.3231],410740
3469.00,[12:57:10.3431],407630
3470.00,[12:57:10.3631],358191
3471.00,[12:57:10.3832],399719
3472.00,[12:57:10.4032],370675
3473.00,[12:57:10.4233],383658
3474.00,[12:57:10.4433],347208
3475.00,[12:57:10.4633],469109
3476.00,[12:57:10.4834],437367
3477.00,[12:57:10.5034],333923
3478.00,[12:57:10.5234],421397
3479.00,[12:57:10.5435],424234
3480.00,[12:57:10.5635],385153
3481.00,[12:57:10.5836],414086
3482.00,[12:57:10.6036],431400
3483.00,[12:57:10.6236],407116
3484.00,[12:57:10.6437],476902
3485.00,[12:57:10.6637],81793.0
3486.00,[12:57:10.6838],13241.0
3487.00,[12:57:10.7038],7739.00
3488.00,[12:57:10.7238],10246.0
3489.00,[12:57:10.7439],14681.0
3490.00,[12:57:10.7639],8279.00
3491.00,[12:57:10.7840],9675.00
3492.00,[12:57:10.8040],-114.000
3493.00,[12:57:10.8240],-1784.00
3494.00,[12:57:10.8441],8649.00
3495.00,[12:57:10.8641],-540.000
3496.00,[12:57:10.8841],-3019.00
3497.00,[12:57:10.9042],-7293.00
3498.00,[12:57:10.9242],13295.0
3499.00,[12:57:10.9443],-4033.00
3500.00,[12:57:10.9643],9588.00
3501.00,[12:57:10.9843],-1131.00
3502.00,[12:57:11.0044],1911.00
3503.00,[12:57:11.0244],7723.00
3504.00,[12:57:11.0445],-1735.00
3505.00,[12:57:11.0645],5316.00
3506.00,[12:57:11.0845],2191.00
3507.00,[12:57:11.1046],-1572.00
3508.00,[12:57:11.1246],4465.00
3509.00,[12:57:11.1446],9637.00
3510.00,[12:57:11.1647],5721.00
3511.00,[12:57:11.1847],3928.00
3512.00,[12:57:11.2048],1877.00
3513.00,[12:57:11.2248],4360.00
3514.00,[12:57:11.2448],10.0000
3515.00,[12:57:11.2649],2433.00
3516.00,[12:57:11.2849],8454.00
3517.00,[12:57:11.3050],4547.00
3518.00,[12:57:11.3250],-1118.00
3519.00,[12:57:11.3450],218.000
